Date,Site,Salinity Group,Salinity
03/05/2010,HS,H,25.5
04/05/2010,LB,L,16.5
12/06/2010,LB,L,11.2
14/06/2010,EC,H,24.8
16/06/2010,HS,H,27.8
30/06/2010,RS,L,13.8
13/07/2010,LB,L,12.3
19/07/2010,CC,L,16
21/07/2010,EC,H,31
22/07/2010,HS,H,29
22/07/2010,RP,H,30
26/07/2010,RS,L,22.5
17/08/2010,HS,H,28
17/08/2010,HS,H,28
18/08/2010,RP,H,29.5
19/08/2010,EC,H,30
22/08/2010,RS,L,23
24/08/2010,LB,L,15
25/08/2010,CC,L,15
15/02/2011,RP,H,31
16/02/2011,EC,H,31
17/02/2011,HS,H,26
18/02/2011,CC,L,28
18/02/2011,RS,L,29
19/02/2011,LB,L,28
07/04/2011,RP,H,31
07/04/2011,EC,H,16
08/04/2011,HS,H,32
09/04/2011,RS,L,28
10/04/2011,CC,L,21
10/04/2011,LB,L,27
01/05/2011,EC,H,31
02/05/2011,RP,H,31
03/05/2011,HS,H,29
05/05/2011,RS,L,23
06/05/2011,CC,L,21.5
16/05/2011,EC,H,29.5
16/05/2011,RP,H,30
17/05/2011,HS,H,29
18/05/2011,CC,L,22
18/05/2011,LB,L,15
18/05/2011,RS,L,22
01/06/2011,EC,H,30
01/06/2011,RP,H,30
01/06/2011,EC,H,30
02/06/2011,HS,H,27
05/06/2011,CC,L,12.5
05/06/2011,LB,L,10
06/06/2011,RS,L,10
27/06/2011,RP,H,20
28/06/2011,EC,H,26
29/06/2011,HS,H,23.5
30/06/2011,CC,L,11.5
30/06/2011,LB,L,8.5
06/07/2011,RS,L,9
15/07/2011,CC,L,10
15/07/2011,LB,L,7.5
15/07/2011,RS,L,18
27/07/2011,CC,L,8
27/07/2011,LB,L,7
27/07/2011,RS,L,12
14/08/2011,CC,L,11
14/08/2011,LB,L,10
14/08/2011,RS,L,18.5
01/09/2011,EC,H,28
01/09/2011,HS,H,26
01/09/2011,RP,H,28.5
10/09/2011,CC,L,19
10/09/2011,LB,L,17.5
10/09/2011,RS,L,22
07/12/2011,CC,L,27
07/12/2011,LB,L,27.5
07/12/2011,RS,L,26
17/02/2012,RP,H,31
18/02/2012,EC,H,30
19/02/2012,HS,H,30.5
02/05/2012,CC,L,15
