species,tide_treatment,salinity,day,tank,status
Lottia_pelta,In,30,28,A,0
Lottia_pelta,In,30,28,A,0
Lottia_pelta,In,30,28,A,0
Lottia_pelta,In,30,28,A,0
Lottia_pelta,Out,30,6,A,1
Lottia_pelta,Out,30,28,A,0
Lottia_pelta,Out,30,28,A,0
Lottia_pelta,Out,30,28,A,0
Lottia_pelta,In,20,16,B,1
Lottia_pelta,In,20,28,B,0
Lottia_pelta,In,20,28,B,0
Lottia_pelta,In,20,28,B,0
Lottia_pelta,Out,20,10,B,1
Lottia_pelta,Out,20,17,B,1
Lottia_pelta,Out,20,28,B,0
Lottia_pelta,Out,20,28,B,0
Lottia_pelta,In,20,7,C,1
Lottia_pelta,In,20,10,C,1
Lottia_pelta,In,20,11,C,1
Lottia_pelta,In,20,27,C,1
Lottia_pelta,Out,20,28,C,0
Lottia_pelta,Out,20,3,C,1
Lottia_pelta,Out,20,3,C,1
Lottia_pelta,Out,20,28,C,0
Lottia_pelta,In,10,10,D,1
Lottia_pelta,In,10,16,D,1
Lottia_pelta,In,10,19,D,1
Lottia_pelta,In,10,20,D,1
Lottia_pelta,Out,10,3,D,1
Lottia_pelta,Out,10,7,D,1
Lottia_pelta,Out,10,24,D,1
Lottia_pelta,Out,10,24,D,1
Lottia_pelta,In,10,7,E,1
Lottia_pelta,In,10,20,E,1
Lottia_pelta,In,10,20,E,1
Lottia_pelta,In,10,27,E,1
Lottia_pelta,Out,10,7,E,1
Lottia_pelta,Out,10,27,E,1
Lottia_pelta,Out,10,27,E,1
Lottia_pelta,Out,10,27,E,1
Lottia_pelta,In,10,20,F,1
Lottia_pelta,In,10,27,F,1
Lottia_pelta,In,10,27,F,1
Lottia_pelta,In,10,27,F,1
Lottia_pelta,Out,10,19,F,1
Lottia_pelta,Out,10,20,F,1
Lottia_pelta,Out,10,27,F,1
Lottia_pelta,Out,10,27,F,1
Lottia_pelta,In,30,3,G,1
Lottia_pelta,In,30,3,G,1
Lottia_pelta,In,30,3,G,1
Lottia_pelta,In,30,10,G,1
Lottia_pelta,Out,30,6,G,1
Lottia_pelta,Out,30,24,G,1
Lottia_pelta,Out,30,28,G,0
Lottia_pelta,Out,30,28,G,0
Lottia_pelta,In,20,3,H,1
Lottia_pelta,In,20,28,H,0
Lottia_pelta,In,20,28,H,0
Lottia_pelta,In,20,28,H,0
Lottia_pelta,Out,20,6,H,1
Lottia_pelta,Out,20,7,H,1
Lottia_pelta,Out,20,3,H,1
Lottia_pelta,Out,20,17,H,1
Lottia_pelta,In,20,10,I,1
Lottia_pelta,In,20,28,I,0
Lottia_pelta,In,20,28,I,0
Lottia_pelta,In,20,28,I,0
Lottia_pelta,Out,20,7,I,1
Lottia_pelta,Out,20,28,I,0
Lottia_pelta,Out,20,28,I,0
Lottia_pelta,Out,20,28,I,0
Lottia_pelta,In,30,6,J,1
Lottia_pelta,In,30,10,J,1
Lottia_pelta,In,30,28,J,0
Lottia_pelta,In,30,28,J,0
Lottia_pelta,Out,30,6,J,1
Lottia_pelta,Out,30,28,J,0
Lottia_pelta,Out,30,28,J,0
Lottia_pelta,Out,30,28,J,0
Lottia_pelta,In,10,19,K,1
Lottia_pelta,In,10,27,K,1
Lottia_pelta,In,10,27,K,1
Lottia_pelta,In,10,27,K,1
Lottia_pelta,Out,10,10,K,1
Lottia_pelta,Out,10,3,K,1
Lottia_pelta,Out,10,3,K,1
Lottia_pelta,Out,10,27,K,1
Lottia_pelta,In,30,3,L,1
Lottia_pelta,In,30,3,L,1
Lottia_pelta,In,30,28,L,0
Lottia_pelta,In,30,28,L,0
Lottia_pelta,Out,30,12,L,1
Lottia_pelta,Out,30,28,L,0
Lottia_pelta,Out,30,3,L,1
Lottia_pelta,Out,30,28,L,0
Lottia_digitalis,In,10,24,D,1
Lottia_digitalis,In,10,24,D,1
Lottia_digitalis,In,10,24,D,1
Lottia_digitalis,In,10,24,D,1
Lottia_digitalis,In,10,24,E,1
Lottia_digitalis,In,10,25,E,1
Lottia_digitalis,In,10,25,E,1
Lottia_digitalis,In,10,25,E,1
Lottia_digitalis,In,10,22,F,1
Lottia_digitalis,In,10,22,F,1
Lottia_digitalis,In,10,24,F,1
Lottia_digitalis,In,10,24,F,1
Lottia_digitalis,In,10,6,K,1
Lottia_digitalis,In,10,24,K,1
Lottia_digitalis,In,10,24,K,1
Lottia_digitalis,In,10,24,K,1
Lottia_digitalis,In,20,6,B,1
Lottia_digitalis,In,20,28,B,0
Lottia_digitalis,In,20,28,B,0
Lottia_digitalis,In,20,28,B,0
Lottia_digitalis,In,20,28,C,0
Lottia_digitalis,In,20,28,C,0
Lottia_digitalis,In,20,28,C,0
Lottia_digitalis,In,20,28,C,0
Lottia_digitalis,In,20,6,H,1
Lottia_digitalis,In,20,28,H,0
Lottia_digitalis,In,20,28,H,0
Lottia_digitalis,In,20,28,H,0
Lottia_digitalis,In,20,28,I,0
Lottia_digitalis,In,20,28,I,0
Lottia_digitalis,In,20,28,I,0
Lottia_digitalis,In,20,28,I,0
Lottia_digitalis,In,30,6,A,1
Lottia_digitalis,In,30,6,A,1
Lottia_digitalis,In,30,22,A,1
Lottia_digitalis,In,30,28,A,0
Lottia_digitalis,In,30,28,G,0
Lottia_digitalis,In,30,28,G,0
Lottia_digitalis,In,30,28,G,0
Lottia_digitalis,In,30,28,G,0
Lottia_digitalis,In,30,28,J,0
Lottia_digitalis,In,30,28,J,0
Lottia_digitalis,In,30,28,J,0
Lottia_digitalis,In,30,28,J,0
Lottia_digitalis,In,30,28,L,0
Lottia_digitalis,In,30,28,L,0
Lottia_digitalis,In,30,28,L,0
Lottia_digitalis,In,30,28,L,0
Lottia_digitalis,Out,10,24,D,1
Lottia_digitalis,Out,10,24,D,1
Lottia_digitalis,Out,10,24,D,1
Lottia_digitalis,Out,10,25,D,1
Lottia_digitalis,Out,10,24,E,1
Lottia_digitalis,Out,10,24,E,1
Lottia_digitalis,Out,10,24,E,1
Lottia_digitalis,Out,10,24,E,1
Lottia_digitalis,Out,10,9,F,1
Lottia_digitalis,Out,10,9,F,1
Lottia_digitalis,Out,10,26,F,1
Lottia_digitalis,Out,10,26,F,1
Lottia_digitalis,Out,10,24,K,1
Lottia_digitalis,Out,10,24,K,1
Lottia_digitalis,Out,10,24,K,1
Lottia_digitalis,Out,10,24,K,1
Lottia_digitalis,Out,20,4,B,1
Lottia_digitalis,Out,20,6,B,1
Lottia_digitalis,Out,20,6,B,1
Lottia_digitalis,Out,20,9,B,1
Lottia_digitalis,Out,20,28,C,0
Lottia_digitalis,Out,20,28,C,0
Lottia_digitalis,Out,20,28,C,0
Lottia_digitalis,Out,20,28,C,0
Lottia_digitalis,Out,20,8,H,1
Lottia_digitalis,Out,20,28,H,0
Lottia_digitalis,Out,20,28,H,0
Lottia_digitalis,Out,20,28,H,0
Lottia_digitalis,Out,20,28,I,0
Lottia_digitalis,Out,20,28,I,0
Lottia_digitalis,Out,20,28,I,0
Lottia_digitalis,Out,20,28,I,0
Lottia_digitalis,Out,30,28,A,0
Lottia_digitalis,Out,30,28,A,0
Lottia_digitalis,Out,30,28,A,0
Lottia_digitalis,Out,30,28,A,0
Lottia_digitalis,Out,30,4,G,1
Lottia_digitalis,Out,30,28,G,0
Lottia_digitalis,Out,30,28,G,0
Lottia_digitalis,Out,30,28,G,0
Lottia_digitalis,Out,30,28,J,0
Lottia_digitalis,Out,30,28,J,0
Lottia_digitalis,Out,30,28,J,0
Lottia_digitalis,Out,30,28,J,0
Lottia_digitalis,Out,30,28,L,0
Lottia_digitalis,Out,30,28,L,0
Lottia_digitalis,Out,30,28,L,0
Lottia_digitalis,Out,30,28,L,0
