Salinity,Treatment,Day,N,Prop_Alive,Std_Error
5,Low,1,3,1,0
5,Low,2,3,1,0
5,Low,3,3,1,0
5,Low,4,3,0.61,0.1474223
5,Low,5,3,0.44333333,0.19877402
5,Low,6,3,0.28,0.20108042
5,Low,7,3,0.22333333,0.14678026
5,Low,8,3,0.05666667,0.05666667
5,Low,9,3,0,0
5,Low,10,3,0,0
5,Low,11,3,0,0
5,Low,12,3,0,0
5,Low,13,3,0,0
5,Low,14,3,0,0
5,Low,15,3,0,0
5,Low,16,3,0,0
5,Low,17,3,0,0
5,Low,18,3,0,0
5,Low,19,3,0,0
5,Low,20,3,0,0
5,Low,21,3,0,0
5,Low,22,3,0,0
5,Low,23,3,0,0
5,Low,24,3,0,0
5,Low,25,3,0,0
5,Low,26,3,0,0
5,Low,27,3,0,0
5,Low,28,3,0,0
5,High,1,3,1,0
5,High,2,3,1,0
5,High,3,3,1,0
5,High,4,3,0.27666667,0.14678026
5,High,5,3,0.11,0.11
5,High,6,3,0,0
5,High,7,3,0,0
5,High,8,3,0,0
5,High,9,3,0,0
5,High,10,3,0,0
5,High,11,3,0,0
5,High,12,3,0,0
5,High,13,3,0,0
5,High,14,3,0,0
5,High,15,3,0,0
5,High,16,3,0,0
5,High,17,3,0,0
5,High,18,3,0,0
5,High,19,3,0,0
5,High,20,3,0,0
5,High,21,3,0,0
5,High,22,3,0,0
5,High,23,3,0,0
5,High,24,3,0,0
5,High,25,3,0,0
5,High,26,3,0,0
5,High,27,3,0,0
5,High,28,3,0,0
8,Low,1,3,1,0
8,Low,2,3,1,0
8,Low,3,3,1,0
8,Low,4,3,0.77666667,0.14678026
8,Low,5,3,0.72,0.11
8,Low,6,3,0.55666667,0.05666667
8,Low,7,3,0.27666667,0.05333333
8,Low,8,3,0.11,0.11
8,Low,9,3,0,0
8,Low,10,3,0,0
8,Low,11,3,0,0
8,Low,12,3,0,0
8,Low,13,3,0,0
8,Low,14,3,0,0
8,Low,15,3,0,0
8,Low,16,3,0,0
8,Low,17,3,0,0
8,Low,18,3,0,0
8,Low,19,3,0,0
8,Low,20,3,0,0
8,Low,21,3,0,0
8,Low,22,3,0,0
8,Low,23,3,0,0
8,Low,24,3,0,0
8,Low,25,3,0,0
8,Low,26,3,0,0
8,Low,27,3,0,0
8,Low,28,3,0,0
8,High,1,3,1,0
8,High,2,3,1,0
8,High,3,3,1,0
8,High,4,3,0.44333333,0.05666667
8,High,5,3,0.33,0
8,High,6,3,0.11333333,0.05666667
8,High,7,3,0,0
8,High,8,3,0,0
8,High,9,3,0,0
8,High,10,3,0,0
8,High,11,3,0,0
8,High,12,3,0,0
8,High,13,3,0,0
8,High,14,3,0,0
8,High,15,3,0,0
8,High,16,3,0,0
8,High,17,3,0,0
8,High,18,3,0,0
8,High,19,3,0,0
8,High,20,3,0,0
8,High,21,3,0,0
8,High,22,3,0,0
8,High,23,3,0,0
8,High,24,3,0,0
8,High,25,3,0,0
8,High,26,3,0,0
8,High,27,3,0,0
8,High,28,3,0,0
11,Low,1,3,1,0
11,Low,2,3,1,0
11,Low,3,3,1,0
11,Low,4,3,0.77666667,0.22333333
11,Low,5,3,0.77666667,0.22333333
11,Low,6,3,0.72,0.20108042
11,Low,7,3,0.72,0.20108042
11,Low,8,3,0.72,0.20108042
11,Low,9,3,0.72,0.20108042
11,Low,10,3,0.72,0.20108042
11,Low,11,3,0.72,0.20108042
11,Low,12,3,0.72,0.20108042
11,Low,13,3,0.72,0.20108042
11,Low,14,3,0.72,0.20108042
11,Low,15,3,0.72,0.20108042
11,Low,16,3,0.72,0.20108042
11,Low,17,3,0.72,0.20108042
11,Low,18,3,0.72,0.20108042
11,Low,19,3,0.72,0.20108042
11,Low,20,3,0.72,0.20108042
11,Low,21,3,0.72,0.20108042
11,Low,22,3,0.72,0.20108042
11,Low,23,3,0.72,0.20108042
11,Low,24,3,0.72,0.20108042
11,Low,25,3,0.72,0.20108042
11,Low,26,3,0.72,0.20108042
11,Low,27,3,0.72,0.20108042
11,Low,28,3,0.72,0.20108042
11,High,1,3,1,0
11,High,2,3,1,0
11,High,3,3,1,0
11,High,4,3,0.94333333,0.05666667
11,High,5,3,0.94333333,0.05666667
11,High,6,3,0.88666667,0.05666667
11,High,7,3,0.72333333,0.05333333
11,High,8,3,0.67,0
11,High,9,3,0.39,0.11
11,High,10,3,0.39,0.11
11,High,11,3,0.39,0.11
11,High,12,3,0.39,0.11
11,High,13,3,0.16666667,0.09527737
11,High,14,3,0.16666667,0.09527737
11,High,15,3,0.16666667,0.09527737
11,High,16,3,0.16666667,0.09527737
11,High,17,3,0.16666667,0.09527737
11,High,18,3,0.16666667,0.09527737
11,High,19,3,0.16666667,0.09527737
11,High,20,3,0.11,0.11
11,High,21,3,0.11,0.11
11,High,22,3,0.11,0.11
11,High,23,3,0.11,0.11
11,High,24,3,0.11,0.11
11,High,25,3,0.11,0.11
11,High,26,3,0.11,0.11
11,High,27,3,0,0
11,High,28,3,0,0
14,Low,1,3,1,0
14,Low,2,3,1,0
14,Low,3,3,1,0
14,Low,4,3,0.94333333,0.05666667
14,Low,5,3,0.94333333,0.05666667
14,Low,6,3,0.94333333,0.05666667
14,Low,7,3,0.94333333,0.05666667
14,Low,8,3,0.89,0.11
14,Low,9,3,0.89,0.11
14,Low,10,3,0.89,0.11
14,Low,11,3,0.89,0.11
14,Low,12,3,0.89,0.11
14,Low,13,3,0.89,0.11
14,Low,14,3,0.89,0.11
14,Low,15,3,0.89,0.11
14,Low,16,3,0.89,0.11
14,Low,17,3,0.89,0.11
14,Low,18,3,0.89,0.11
14,Low,19,3,0.89,0.11
14,Low,20,3,0.89,0.11
14,Low,21,3,0.89,0.11
14,Low,22,3,0.89,0.11
14,Low,23,3,0.89,0.11
14,Low,24,3,0.89,0.11
14,Low,25,3,0.89,0.11
14,Low,26,3,0.89,0.11
14,Low,27,3,0.89,0.11
14,Low,28,3,0.89,0.11
14,High,1,3,1,0
14,High,2,3,1,0
14,High,3,3,1,0
14,High,4,3,0.88666667,0.05666667
14,High,5,3,0.88666667,0.05666667
14,High,6,3,0.88666667,0.05666667
14,High,7,3,0.88666667,0.05666667
14,High,8,3,0.88666667,0.05666667
14,High,9,3,0.88666667,0.05666667
14,High,10,3,0.88666667,0.05666667
14,High,11,3,0.88666667,0.05666667
14,High,12,3,0.88666667,0.05666667
14,High,13,3,0.88666667,0.05666667
14,High,14,3,0.88666667,0.05666667
14,High,15,3,0.88666667,0.05666667
14,High,16,3,0.88666667,0.05666667
14,High,17,3,0.88666667,0.05666667
14,High,18,3,0.88666667,0.05666667
14,High,19,3,0.88666667,0.05666667
14,High,20,3,0.83,0
14,High,21,3,0.83,0
14,High,22,3,0.83,0
14,High,23,3,0.83,0
14,High,24,3,0.83,0
14,High,25,3,0.83,0
14,High,26,3,0.83,0
14,High,27,3,0.77666667,0.05333333
14,High,28,3,0.77666667,0.05333333
17,Low,1,3,1,0
17,Low,2,3,1,0
17,Low,3,3,1,0
17,Low,4,3,1,0
17,Low,5,3,1,0
17,Low,6,3,1,0
17,Low,7,3,1,0
17,Low,8,3,0.94333333,0.05666667
17,Low,9,3,0.94333333,0.05666667
17,Low,10,3,0.94333333,0.05666667
17,Low,11,3,0.94333333,0.05666667
17,Low,12,3,0.94333333,0.05666667
17,Low,13,3,0.94333333,0.05666667
17,Low,14,3,0.94333333,0.05666667
17,Low,15,3,0.94333333,0.05666667
17,Low,16,3,0.94333333,0.05666667
17,Low,17,3,0.94333333,0.05666667
17,Low,18,3,0.94333333,0.05666667
17,Low,19,3,0.88666667,0.05666667
17,Low,20,3,0.88666667,0.05666667
17,Low,21,3,0.88666667,0.05666667
17,Low,22,3,0.88666667,0.05666667
17,Low,23,3,0.88666667,0.05666667
17,Low,24,3,0.88666667,0.05666667
17,Low,25,3,0.88666667,0.05666667
17,Low,26,3,0.88666667,0.05666667
17,Low,27,3,0.88666667,0.05666667
17,Low,28,3,0.88666667,0.05666667
17,High,1,3,1,0
17,High,2,3,1,0
17,High,3,3,1,0
17,High,4,3,1,0
17,High,5,3,1,0
17,High,6,3,1,0
17,High,7,3,1,0
17,High,8,3,1,0
17,High,9,3,1,0
17,High,10,3,1,0
17,High,11,3,1,0
17,High,12,3,1,0
17,High,13,3,1,0
17,High,14,3,1,0
17,High,15,3,1,0
17,High,16,3,1,0
17,High,17,3,1,0
17,High,18,3,1,0
17,High,19,3,1,0
17,High,20,3,1,0
17,High,21,3,1,0
17,High,22,3,1,0
17,High,23,3,1,0
17,High,24,3,1,0
17,High,25,3,1,0
17,High,26,3,1,0
17,High,27,3,1,0
17,High,28,3,1,0
20,Low,1,3,1,0
20,Low,2,3,1,0
20,Low,3,3,1,0
20,Low,4,3,1,0
20,Low,5,3,1,0
20,Low,6,3,1,0
20,Low,7,3,1,0
20,Low,8,3,1,0
20,Low,9,3,1,0
20,Low,10,3,1,0
20,Low,11,3,1,0
20,Low,12,3,1,0
20,Low,13,3,1,0
20,Low,14,3,1,0
20,Low,15,3,1,0
20,Low,16,3,1,0
20,Low,17,3,1,0
20,Low,18,3,1,0
20,Low,19,3,1,0
20,Low,20,3,1,0
20,Low,21,3,1,0
20,Low,22,3,1,0
20,Low,23,3,1,0
20,Low,24,3,1,0
20,Low,25,3,1,0
20,Low,26,3,1,0
20,Low,27,3,1,0
20,Low,28,3,1,0
20,High,1,3,1,0
20,High,2,3,1,0
20,High,3,3,1,0
20,High,4,3,1,0
20,High,5,3,1,0
20,High,6,3,1,0
20,High,7,3,0.94333333,0.05666667
20,High,8,3,0.94333333,0.05666667
20,High,9,3,0.94333333,0.05666667
20,High,10,3,0.94333333,0.05666667
20,High,11,3,0.94333333,0.05666667
20,High,12,3,0.94333333,0.05666667
20,High,13,3,0.94333333,0.05666667
20,High,14,3,0.94333333,0.05666667
20,High,15,3,0.94333333,0.05666667
20,High,16,3,0.94333333,0.05666667
20,High,17,3,0.94333333,0.05666667
20,High,18,3,0.94333333,0.05666667
20,High,19,3,0.94333333,0.05666667
20,High,20,3,0.94333333,0.05666667
20,High,21,3,0.94333333,0.05666667
20,High,22,3,0.94333333,0.05666667
20,High,23,3,0.94333333,0.05666667
20,High,24,3,0.94333333,0.05666667
20,High,25,3,0.94333333,0.05666667
20,High,26,3,0.94333333,0.05666667
20,High,27,3,0.94333333,0.05666667
20,High,28,3,0.94333333,0.05666667
