source,statistic,df,p.value
month,22.21335964425854,3,5.889145506381296e-5
salinity_regime,13.251768089201049,1,2.723228899517418e-4
month:salinity_regime,27.51027711994704,3,4.6016202397979435e-6
month,26.77848886521996,3,6.55167175629507e-6
salinity_regime,9.191885975375204e-4,1,0.9758133429511727
month:salinity_regime,27.94648235497999,3,3.727201794987697e-6
month,41.11948793099394,3,6.168527484956581e-9
salinity_regime,1.2372062480261312,1,0.2660101580517098
month,4.989798161184512,3,0.17254569908308837
salinity_regime,66.54403933832708,1,3.421631624146741e-16
